
[34m[1mwandb[39m[22m: [33mWARNING[39m The save_model argument by default saves the model in the HDF5 format that cannot save custom objects like subclassed models and custom layers. This behavior will be deprecated in a future release in favor of the SavedModel format. Meanwhile, the HDF5 model is saved as W&B files and the SavedModel as W&B Artifacts.
 42/242 [====>.........................] - ETA: 3:11:24 - loss: 0.1825 - psnr: 62.7084WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 43/242 [====>.........................] - ETA: 3:09:49 - loss: 0.1844 - psnr: 62.6167WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 44/242 [====>.........................] - ETA: 3:08:17 - loss: 0.1837 - psnr: 62.6218WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 45/242 [====>.........................] - ETA: 3:06:50 - loss: 0.1827 - psnr: 62.6621WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 46/242 [====>.........................] - ETA: 3:05:21 - loss: 0.1830 - psnr: 62.6184WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 47/242 [====>.........................] - ETA: 3:03:57 - loss: 0.1842 - psnr: 62.5630WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 48/242 [====>.........................] - ETA: 3:02:32 - loss: 0.1848 - psnr: 62.5190WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 49/242 [=====>........................] - ETA: 3:01:13 - loss: 0.1845 - psnr: 62.5079WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 50/242 [=====>........................] - ETA: 2:59:50 - loss: 0.1842 - psnr: 62.5068WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 51/242 [=====>........................] - ETA: 2:58:48 - loss: 0.1830 - psnr: 62.5801WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 52/242 [=====>........................] - ETA: 2:57:49 - loss: 0.1821 - psnr: 62.6042WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 53/242 [=====>........................] - ETA: 2:56:45 - loss: 0.1812 - psnr: 62.6502WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 54/242 [=====>........................] - ETA: 2:55:36 - loss: 0.1796 - psnr: 62.7262WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 55/242 [=====>........................] - ETA: 2:54:31 - loss: 0.1787 - psnr: 62.7745WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 56/242 [=====>........................] - ETA: 2:53:26 - loss: 0.1785 - psnr: 62.7601WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 57/242 [======>.......................] - ETA: 2:52:21 - loss: 0.1777 - psnr: 62.7934WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 58/242 [======>.......................] - ETA: 2:51:23 - loss: 0.1779 - psnr: 62.7674WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 59/242 [======>.......................] - ETA: 2:50:16 - loss: 0.1785 - psnr: 62.7301WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 60/242 [======>.......................] - ETA: 2:49:10 - loss: 0.1783 - psnr: 62.7263WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 61/242 [======>.......................] - ETA: 2:48:08 - loss: 0.1776 - psnr: 62.7507WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 62/242 [======>.......................] - ETA: 2:47:03 - loss: 0.1766 - psnr: 62.7867WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 63/242 [======>.......................] - ETA: 2:45:57 - loss: 0.1762 - psnr: 62.7997WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 64/242 [======>.......................] - ETA: 2:44:59 - loss: 0.1758 - psnr: 62.8098WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 65/242 [=======>......................] - ETA: 2:44:01 - loss: 0.1753 - psnr: 62.8359WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 66/242 [=======>......................] - ETA: 2:42:59 - loss: 0.1769 - psnr: 62.7656WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 67/242 [=======>......................] - ETA: 2:41:58 - loss: 0.1766 - psnr: 62.7690WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 68/242 [=======>......................] - ETA: 2:40:54 - loss: 0.1770 - psnr: 62.7386WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 69/242 [=======>......................] - ETA: 2:39:49 - loss: 0.1767 - psnr: 62.7393WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 70/242 [=======>......................] - ETA: 2:38:49 - loss: 0.1775 - psnr: 62.6944WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 71/242 [=======>......................] - ETA: 2:37:46 - loss: 0.1774 - psnr: 62.6835WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 72/242 [=======>......................] - ETA: 2:36:42 - loss: 0.1792 - psnr: 62.6160WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 73/242 [========>.....................] - ETA: 2:35:38 - loss: 0.1794 - psnr: 62.5996WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 74/242 [========>.....................] - ETA: 2:34:37 - loss: 0.1799 - psnr: 62.5639WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 75/242 [========>.....................] - ETA: 2:33:37 - loss: 0.1801 - psnr: 62.5386WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 76/242 [========>.....................] - ETA: 2:32:33 - loss: 0.1804 - psnr: 62.5104WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 77/242 [========>.....................] - ETA: 2:31:36 - loss: 0.1794 - psnr: 62.5607WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 78/242 [========>.....................] - ETA: 2:30:40 - loss: 0.1789 - psnr: 62.5932WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 79/242 [========>.....................] - ETA: 2:29:37 - loss: 0.1783 - psnr: 62.6110WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 80/242 [========>.....................] - ETA: 2:28:35 - loss: 0.1793 - psnr: 62.5586WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 81/242 [=========>....................] - ETA: 2:27:33 - loss: 0.1822 - psnr: 62.4734WARNING:tensorflow:Can save best model only with val_psnr available, skipping.

 82/242 [=========>....................] - ETA: 2:26:34 - loss: 0.1832 - psnr: 62.4285WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 83/242 [=========>....................] - ETA: 2:26:17 - loss: 0.1833 - psnr: 62.4097WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 84/242 [=========>....................] - ETA: 2:32:30 - loss: 0.1837 - psnr: 62.3837WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
